Component,Quantity,Description,Price (USD),Link
Seeed Xiao Studio RP2040,1,Microcontroller,3.49,"https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/100045204/28959890?s=N4IgTCBcDaIM4FMkBMAEcAuBXZBLA9qgB64CGhASgApgAMALLSALoC%2BQA"
Raspberry Pi Pico,1,Microcontroller,4.00,"https://www.digikey.com/en/products/detail/raspberry-pi/SC0915/13624793"
Switch,5 (x18) (Cheapest Quantity),MX Keyboard Switch,21.00,"https://kineticlabs.com/switches/gateron/milky-yellow-pro-linear-ks-3"
LEDs,100 (Cheapest Quantity),SK6812 MINI-E,6.15,"https://www.aliexpress.us/item/3256805007401420.html?spm=a2g0o.productlist.main.1.318d5530qOsvcH&algo_pvid=9ebbed78-4863-42ac-bdbb-ba18df06dd9f&algo_exp_id=9ebbed78-4863-42ac-bdbb-ba18df06dd9f-0&pdp_ext_f=%7B%22order%22%3A%22331%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.15%210.99%21%21%2142.14%216.83%21%40210328c017741457676968235e2f1a%2112000032072424635%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A240f846f%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=ELXaORakQ7Nk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005193716172%7C_p_origin_prod%3A"
Diodes,100 (Cheapest Quantity),1N4148 Diodes,3.38,"https://www.digikey.com/en/products/detail/onsemi/1N4148/458603"
OLED,1,0.96in OLED,3.00,"https://www.aliexpress.us/item/3256806076593949.html?spm=a2g0o.productlist.main.13.74ee6725cItPa3&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005006262908701%7C_p_origin_prod%3A&algo_pvid=38e1943f-92e8-49ff-9c24-7ba42a180ecf&algo_exp_id=38e1943f-92e8-49ff-9c24-7ba42a180ecf&pdp_ext_f=%7B%22order%22%3A%2218538%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.73%210.99%21%21%2118.69%216.77%21%402101d6fe17741463172971514e181b%2112000036518346430%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A240f846f%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&gatewayAdapt=4itemAdapt"
Resistors,2,4.7k Resistors,0.20,"https://www.digikey.com/en/products/detail/yageo/RC0603FR-074K7L/727212"
Rotary Encoders,2,EC11E Rotary Encoders,8.98,"https://www.digikey.com/en/products/detail/alps-alpine/EC11E09244BS/21721622"
Keycap Set,1,Capybara Cherry PBT Set,24.07,"https://www.aliexpress.us/item/3256809804692169.html?spm=a2g0o.productlist.main.9.312873fehi7gJG&algo_pvid=7cc403e3-c38b-4216-8343-8780b7b3db5b&algo_exp_id=7cc403e3-c38b-4216-8343-8780b7b3db5b-8&pdp_ext_f=%7B%22order%22%3A%2217%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2188.12%2133.68%21%21%21431.97%21165.11%21%40210311a017740508798715945ec2d6%2112000050779745001%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A94682487%3Bm03_new_user%3A-29895%3BpisId%3A5000000197831921&curPageLogUid=72wE0FsKHJUA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009991006921%7C_p_origin_prod%3A&gatewayAdapt=glo2usa4itemAdapt"
PCB,1,JLCPCB PCB Assembly,24.50 (Estimate),"https://jlcpcb.com/"
